year,state,disabilityType,classOfWorker,percentage,numbers
2018,Virginia,No Disability,Private not-for-profit wage and salary workers,7.8,307825.362
2018,Virginia,Total Civilian Noninstitutionalized Population,Local government workers,7.9,330282.331
2018,Virginia,With a Disability,Local government workers,6.6,15464.46
2018,Virginia,No Disability,Local government workers,8,315718.32
2018,Virginia,Total Civilian Noninstitutionalized Population,State government workers,4.3,179773.927
2018,Virginia,With a Disability,State government workers,5.5,12887.05
2018,Virginia,No Disability,State government workers,4.2,165752.118
2018,Virginia,Total Civilian Noninstitutionalized Population,Federal government workers,7.7,321920.753
2018,Virginia,With a Disability,Federal government workers,8.6,20150.66
2018,Virginia,No Disability,Federal government workers,7.6,299932.404
2018,Virginia,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.1,213220.239
2018,Virginia,With a Disability,Self-employed in own not incorporated business workers,6.9,16167.39
2018,Virginia,No Disability,Self-employed in own not incorporated business workers,5,197323.95
2018,Virginia,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,8361.578
2018,Virginia,With a Disability,Unpaid family workers,0.4,937.24
2018,Virginia,No Disability,Unpaid family workers,0.2,7892.958
2018,North Dakota,Total Civilian Noninstitutionalized Population,,100,400818
2018,North Dakota,With a Disability,,100,26575
2018,North Dakota,No Disability,,100,374243
2018,North Dakota,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,65.7,263337.426
2018,North Dakota,With a Disability,Private for-profit wage and salary workers,64.8,17220.6
2018,North Dakota,No Disability,Private for-profit wage and salary workers,65.8,246251.894
2018,North Dakota,Total Civilian Noninstitutionalized Population,Employee of private company workers,62,248507.16
2018,North Dakota,With a Disability,Employee of private company workers,62.5,16609.375
2018,North Dakota,No Disability,Employee of private company workers,62,232030.66
2018,North Dakota,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.7,14830.266
2018,North Dakota,With a Disability,Self-employed in own incorporated business workers,2.3,611.225
2018,North Dakota,No Disability,Self-employed in own incorporated business workers,3.8,14221.234
2018,North Dakota,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,10.8,43288.344
2018,North Dakota,With a Disability,Private not-for-profit wage and salary workers,9.9,2630.925
2018,North Dakota,No Disability,Private not-for-profit wage and salary workers,10.9,40792.487
2018,North Dakota,Total Civilian Noninstitutionalized Population,Local government workers,7.1,28458.078
2018,North Dakota,With a Disability,Local government workers,5.8,1541.35
2018,North Dakota,No Disability,Local government workers,7.2,26945.496
2018,North Dakota,Total Civilian Noninstitutionalized Population,State government workers,5.6,22445.808
2018,North Dakota,With a Disability,State government workers,3.5,930.125
2018,North Dakota,No Disability,State government workers,5.8,21706.094
2018,North Dakota,Total Civilian Noninstitutionalized Population,Federal government workers,3.2,12826.176
2018,North Dakota,With a Disability,Federal government workers,5.3,1408.475
2018,North Dakota,No Disability,Federal government workers,3.1,11601.533
2018,North Dakota,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,7.2,28858.896
2018,North Dakota,With a Disability,Self-employed in own not incorporated business workers,10.1,2684.075
2018,North Dakota,No Disability,Self-employed in own not incorporated business workers,7,26197.01
2018,North Dakota,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.3,1202.454
2018,North Dakota,With a Disability,Unpaid family workers,0.6,159.45
2018,North Dakota,No Disability,Unpaid family workers,0.3,1122.729
2018,New Jersey,Total Civilian Noninstitutionalized Population,,100,4487823
2018,New Jersey,With a Disability,,100,196154
2018,New Jersey,No Disability,,100,4291669
2018,New Jersey,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,75.3,3379330.719
2018,New Jersey,With a Disability,Private for-profit wage and salary workers,70.8,138877.032
2018,New Jersey,No Disability,Private for-profit wage and salary workers,75.5,3240210.095
2018,New Jersey,Total Civilian Noninstitutionalized Population,Employee of private company workers,71.4,3204305.622
2018,New Jersey,With a Disability,Employee of private company workers,65.6,128677.024
2018,New Jersey,No Disability,Employee of private company workers,71.6,3072835.004
2018,New Jersey,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.9,175025.097
2018,New Jersey,With a Disability,Self-employed in own incorporated business workers,5.2,10200.008
2018,New Jersey,No Disability,Self-employed in own incorporated business workers,3.8,163083.422
2018,New Jersey,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.9,309659.787
2018,New Jersey,With a Disability,Private not-for-profit wage and salary workers,8.1,15888.474
2018,New Jersey,No Disability,Private not-for-profit wage and salary workers,6.8,291833.492
2018,New Jersey,Total Civilian Noninstitutionalized Population,Local government workers,7.4,332098.902
2018,New Jersey,With a Disability,Local government workers,8.2,16084.628
2018,New Jersey,No Disability,Local government workers,7.4,317583.506
2018,New Jersey,Total Civilian Noninstitutionalized Population,State government workers,4.3,192976.389
2018,New Jersey,With a Disability,State government workers,5.3,10396.162
2018,New Jersey,No Disability,State government workers,4.2,180250.098
2018,New Jersey,Total Civilian Noninstitutionalized Population,Federal government workers,1.5,67317.345
2018,New Jersey,With a Disability,Federal government workers,1.8,3530.772
2018,New Jersey,No Disability,Federal government workers,1.5,64375.035
2018,New Jersey,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.5,201952.035
2018,New Jersey,With a Disability,Self-employed in own not incorporated business workers,5.6,10984.624
2018,New Jersey,No Disability,Self-employed in own not incorporated business workers,4.5,193125.105
2018,New Jersey,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,4487.823
2018,New Jersey,With a Disability,Unpaid family workers,0.3,588.462
2018,New Jersey,No Disability,Unpaid family workers,0.1,4291.669
2018,Ohio,Total Civilian Noninstitutionalized Population,,100,5636786
2018,Ohio,With a Disability,,100,378423
2018,Ohio,No Disability,,100,5258363
2018,Ohio,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.7,4154311.282
2018,Ohio,With a Disability,Private for-profit wage and salary workers,71.8,271707.714
2018,Ohio,No Disability,Private for-profit wage and salary workers,73.9,3885930.257
2018,Ohio,Total Civilian Noninstitutionalized Population,Employee of private company workers,70.9,3996481.274
2018,Ohio,With a Disability,Employee of private company workers,69.5,263003.985
2018,Ohio,No Disability,Employee of private company workers,71,3733437.73
2018,Ohio,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,2.8,157830.008
2018,Ohio,With a Disability,Self-employed in own incorporated business workers,2.3,8703.729
2018,Ohio,No Disability,Self-employed in own incorporated business workers,2.8,147234.164
2018,Ohio,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.7,546768.242
2018,Ohio,With a Disability,Private not-for-profit wage and salary workers,11.7,44275.491
2018,Ohio,No Disability,Private not-for-profit wage and salary workers,9.6,504802.848
2018,Ohio,Total Civilian Noninstitutionalized Population,Local government workers,6.7,377664.662
2018,Ohio,With a Disability,Local government workers,5.9,22326.957
2018,Ohio,No Disability,Local government workers,6.8,357568.684
2018,Ohio,Total Civilian Noninstitutionalized Population,State government workers,3.2,180377.152
2018,Ohio,With a Disability,State government workers,2.5,9460.575
2018,Ohio,No Disability,State government workers,3.3,173525.979
2018,Ohio,Total Civilian Noninstitutionalized Population,Federal government workers,1.7,95825.362
2018,Ohio,With a Disability,Federal government workers,2,7568.46
2018,Ohio,No Disability,Federal government workers,1.7,89392.171
2018,Ohio,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.7,264928.942
2018,Ohio,With a Disability,Self-employed in own not incorporated business workers,5.9,22326.957
2018,Ohio,No Disability,Self-employed in own not incorporated business workers,4.6,241884.698
2018,Ohio,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,11273.572
2018,Ohio,With a Disability,Unpaid family workers,0.2,756.846
2018,Ohio,No Disability,Unpaid family workers,0.2,10516.726
2018,South Carolina,Total Civilian Noninstitutionalized Population,,100,2311958
2018,South Carolina,With a Disability,,100,146064
2018,South Carolina,No Disability,,100,2165894
2018,South Carolina,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.9,1708536.962
2018,South Carolina,With a Disability,Private for-profit wage and salary workers,71.9,105020.016
2018,South Carolina,No Disability,Private for-profit wage and salary workers,74,1602761.56
2018,South Carolina,Total Civilian Noninstitutionalized Population,Employee of private company workers,70.1,1620682.558
2018,South Carolina,With a Disability,Employee of private company workers,67.2,98155.008
2018,South Carolina,No Disability,Employee of private company workers,70.3,1522623.482
2018,South Carolina,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.8,87854.404
2018,South Carolina,With a Disability,Self-employed in own incorporated business workers,4.7,6865.008
2018,South Carolina,No Disability,Self-employed in own incorporated business workers,3.7,80138.078
2018,South Carolina,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.1,141029.438
2018,South Carolina,With a Disability,Private not-for-profit wage and salary workers,6.8,9932.352
2018,South Carolina,No Disability,Private not-for-profit wage and salary workers,6.1,132119.534
2018,South Carolina,Total Civilian Noninstitutionalized Population,Local government workers,5.3,122533.774
2018,South Carolina,With a Disability,Local government workers,5,7303.2
2018,South Carolina,No Disability,Local government workers,5.3,114792.382
2018,South Carolina,Total Civilian Noninstitutionalized Population,State government workers,6.8,157213.144
2018,South Carolina,With a Disability,State government workers,5.3,7741.392
2018,South Carolina,No Disability,State government workers,6.9,149446.686
2018,South Carolina,Total Civilian Noninstitutionalized Population,Federal government workers,2.3,53175.034
2018,South Carolina,With a Disability,Federal government workers,2.9,4235.856
2018,South Carolina,No Disability,Federal government workers,2.3,49815.562
2018,South Carolina,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.4,124845.732
2018,South Carolina,With a Disability,Self-employed in own not incorporated business workers,7.8,11392.992
2018,South Carolina,No Disability,Self-employed in own not incorporated business workers,5.2,112626.488
2018,South Carolina,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,4623.916
2018,South Carolina,With a Disability,Unpaid family workers,0.3,438.192
2018,South Carolina,No Disability,Unpaid family workers,0.2,4331.788
2018,Georgia,Total Civilian Noninstitutionalized Population,,100,4952043
2018,Georgia,With a Disability,,100,279789
2018,Georgia,No Disability,,100,4672254
2018,Georgia,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,75,3714032.25
2018,Georgia,With a Disability,Private for-profit wage and salary workers,69.3,193893.777
2018,Georgia,No Disability,Private for-profit wage and salary workers,75.4,3522879.516
2018,Georgia,Total Civilian Noninstitutionalized Population,Employee of private company workers,70.8,3506046.444
2018,Georgia,With a Disability,Employee of private company workers,65.1,182142.639
2018,Georgia,No Disability,Employee of private company workers,71.1,3321972.594
2018,Georgia,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.2,207985.806
2018,Georgia,With a Disability,Self-employed in own incorporated business workers,4.1,11471.349
2018,Georgia,No Disability,Self-employed in own incorporated business workers,4.2,196234.668
2018,Georgia,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,5.6,277314.408
2018,Georgia,With a Disability,Private not-for-profit wage and salary workers,6.2,17346.918
2018,Georgia,No Disability,Private not-for-profit wage and salary workers,5.6,261646.224
2018,Georgia,Total Civilian Noninstitutionalized Population,Local government workers,6.6,326834.838
2018,Georgia,With a Disability,Local government workers,7.2,20144.808
2018,Georgia,No Disability,Local government workers,6.5,303696.51
2018,Georgia,Total Civilian Noninstitutionalized Population,State government workers,4.6,227793.978
2018,Georgia,With a Disability,State government workers,4.7,13150.083
2018,Georgia,No Disability,State government workers,4.6,214923.684
2018,Georgia,Total Civilian Noninstitutionalized Population,Federal government workers,2.6,128753.118
2018,Georgia,With a Disability,Federal government workers,3.6,10072.404
2018,Georgia,No Disability,Federal government workers,2.6,121478.604
2018,Georgia,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.4,267410.322
2018,Georgia,With a Disability,Self-employed in own not incorporated business workers,8.7,24341.643
2018,Georgia,No Disability,Self-employed in own not incorporated business workers,5.2,242957.208
2018,Georgia,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,9904.086
2018,Georgia,With a Disability,Unpaid family workers,0.3,839.367
2018,Georgia,No Disability,Unpaid family workers,0.2,9344.508
2018,Colorado,Total Civilian Noninstitutionalized Population,,100,2982794
2018,Colorado,With a Disability,,100,174614
2018,Colorado,No Disability,,100,2808180
2018,Colorado,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,72.7,2168491.238
2018,Colorado,With a Disability,Private for-profit wage and salary workers,71.5,124849.01
2018,Colorado,No Disability,Private for-profit wage and salary workers,72.8,2044355.04
2018,Colorado,Total Civilian Noninstitutionalized Population,Employee of private company workers,67.7,2019351.538
2018,Colorado,With a Disability,Employee of private company workers,65.6,114546.784
2018,Colorado,No Disability,Employee of private company workers,67.8,1903946.04
2018,Colorado,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,5.1,152122.494
2018,Colorado,With a Disability,Self-employed in own incorporated business workers,5.9,10302.226
2018,Colorado,No Disability,Self-employed in own incorporated business workers,5,140409
2018,Colorado,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.9,235640.726
2018,Colorado,With a Disability,Private not-for-profit wage and salary workers,8.1,14143.734
2018,Colorado,No Disability,Private not-for-profit wage and salary workers,7.8,219038.04
2018,Colorado,Total Civilian Noninstitutionalized Population,Local government workers,6.7,199847.198
2018,Colorado,With a Disability,Local government workers,5.8,10127.612
2018,Colorado,No Disability,Local government workers,6.7,188148.06
2018,Colorado,Total Civilian Noninstitutionalized Population,State government workers,3.9,116328.966
2018,Colorado,With a Disability,State government workers,3.5,6111.49
2018,Colorado,No Disability,State government workers,4,112327.2
2018,Colorado,Total Civilian Noninstitutionalized Population,Federal government workers,2.7,80535.438
2018,Colorado,With a Disability,Federal government workers,3.4,5936.876
2018,Colorado,No Disability,Federal government workers,2.6,73012.68
2018,Colorado,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.9,175984.846
2018,Colorado,With a Disability,Self-employed in own not incorporated business workers,7,12222.98
2018,Colorado,No Disability,Self-employed in own not incorporated business workers,5.8,162874.44
2018,Colorado,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,5965.588
2018,Colorado,With a Disability,Unpaid family workers,0.6,1047.684
2018,Colorado,No Disability,Unpaid family workers,0.2,5616.36
2018,Hawaii,Total Civilian Noninstitutionalized Population,,100,684453
2018,Hawaii,With a Disability,,100,35652
2018,Hawaii,No Disability,,100,648801
2018,Hawaii,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,65.3,446947.809
2018,Hawaii,With a Disability,Private for-profit wage and salary workers,55.8,19893.816
2018,Hawaii,No Disability,Private for-profit wage and salary workers,65.8,426911.058
2018,Hawaii,Total Civilian Noninstitutionalized Population,Employee of private company workers,61.1,418200.783
2018,Hawaii,With a Disability,Employee of private company workers,51.6,18396.432
2018,Hawaii,No Disability,Employee of private company workers,61.6,399661.416
2018,Hawaii,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.2,28747.026
2018,Hawaii,With a Disability,Self-employed in own incorporated business workers,4.2,1497.384
2018,Hawaii,No Disability,Self-employed in own incorporated business workers,4.2,27249.642
2018,Hawaii,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.9,54071.787
2018,Hawaii,With a Disability,Private not-for-profit wage and salary workers,8.5,3030.42
2018,Hawaii,No Disability,Private not-for-profit wage and salary workers,7.9,51255.279
2018,Hawaii,Total Civilian Noninstitutionalized Population,Local government workers,3.5,23955.855
2018,Hawaii,With a Disability,Local government workers,2.7,962.604
2018,Hawaii,No Disability,Local government workers,3.5,22708.035
2018,Hawaii,Total Civilian Noninstitutionalized Population,State government workers,9.3,63654.129
2018,Hawaii,With a Disability,State government workers,9.4,3351.288
2018,Hawaii,No Disability,State government workers,9.3,60338.493
2018,Hawaii,Total Civilian Noninstitutionalized Population,Federal government workers,7,47911.71
2018,Hawaii,With a Disability,Federal government workers,10.6,3779.112
2018,Hawaii,No Disability,Federal government workers,6.8,44118.468
2018,Hawaii,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.8,46542.804
2018,Hawaii,With a Disability,Self-employed in own not incorporated business workers,12.6,4492.152
2018,Hawaii,No Disability,Self-employed in own not incorporated business workers,6.5,42172.065
2018,Hawaii,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.3,2053.359
2018,Hawaii,With a Disability,Unpaid family workers,0.5,178.26
2018,Hawaii,No Disability,Unpaid family workers,0.3,1946.403
2018,South Dakota,Total Civilian Noninstitutionalized Population,,100,453723
2018,South Dakota,With a Disability,,100,34624
2018,South Dakota,No Disability,,100,419099
2018,South Dakota,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,66.2,300364.626
2018,South Dakota,With a Disability,Private for-profit wage and salary workers,62.1,21501.504
2018,South Dakota,No Disability,Private for-profit wage and salary workers,66.6,279119.934
2018,South Dakota,Total Civilian Noninstitutionalized Population,Employee of private company workers,62,281308.26
2018,South Dakota,With a Disability,Employee of private company workers,59,20428.16
2018,South Dakota,No Disability,Employee of private company workers,62.2,260679.578
2018,South Dakota,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.3,19510.089
2018,South Dakota,With a Disability,Self-employed in own incorporated business workers,3.1,1073.344
2018,South Dakota,No Disability,Self-employed in own incorporated business workers,4.4,18440.356
2018,South Dakota,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,11.5,52178.145
2018,South Dakota,With a Disability,Private not-for-profit wage and salary workers,17.8,6163.072
2018,South Dakota,No Disability,Private not-for-profit wage and salary workers,11,46100.89
2018,South Dakota,Total Civilian Noninstitutionalized Population,Local government workers,7.4,33575.502
2018,South Dakota,With a Disability,Local government workers,6.1,2112.064
2018,South Dakota,No Disability,Local government workers,7.5,31432.425
2018,South Dakota,Total Civilian Noninstitutionalized Population,State government workers,4.5,20417.535
2018,South Dakota,With a Disability,State government workers,4.2,1454.208
2018,South Dakota,No Disability,State government workers,4.5,18859.455
2018,South Dakota,Total Civilian Noninstitutionalized Population,Federal government workers,2.5,11343.075
2018,South Dakota,With a Disability,Federal government workers,1.4,484.736
2018,South Dakota,No Disability,Federal government workers,2.6,10896.574
2018,South Dakota,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,7.6,34482.948
2018,South Dakota,With a Disability,Self-employed in own not incorporated business workers,8.1,2804.544
2018,South Dakota,No Disability,Self-employed in own not incorporated business workers,7.6,31851.524
2018,South Dakota,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.3,1361.169
2018,South Dakota,With a Disability,Unpaid family workers,0.3,103.872
2018,South Dakota,No Disability,Unpaid family workers,0.3,1257.297
2018,Indiana,Total Civilian Noninstitutionalized Population,,100,3238769
2018,Indiana,With a Disability,,100,210716
2018,Indiana,No Disability,,100,3028053
2018,Indiana,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,76,2461464.44
2018,Indiana,With a Disability,Private for-profit wage and salary workers,75.1,158247.716
2018,Indiana,No Disability,Private for-profit wage and salary workers,76,2301320.28
2018,Indiana,Total Civilian Noninstitutionalized Population,Employee of private company workers,73.2,2370778.908
2018,Indiana,With a Disability,Employee of private company workers,72.2,152136.952
2018,Indiana,No Disability,Employee of private company workers,73.3,2219562.849
2018,Indiana,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,2.8,90685.532
2018,Indiana,With a Disability,Self-employed in own incorporated business workers,2.9,6110.764
2018,Indiana,No Disability,Self-employed in own incorporated business workers,2.8,84785.484
2018,Indiana,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.1,294727.979
2018,Indiana,With a Disability,Private not-for-profit wage and salary workers,9.9,20860.884
2018,Indiana,No Disability,Private not-for-profit wage and salary workers,9,272524.77
2018,Indiana,Total Civilian Noninstitutionalized Population,Local government workers,5.2,168415.988
2018,Indiana,With a Disability,Local government workers,4.5,9482.22
2018,Indiana,No Disability,Local government workers,5.3,160486.809
2018,Indiana,Total Civilian Noninstitutionalized Population,State government workers,3.6,116595.684
2018,Indiana,With a Disability,State government workers,3.1,6532.196
2018,Indiana,No Disability,State government workers,3.7,112037.961
2018,Indiana,Total Civilian Noninstitutionalized Population,Federal government workers,1.5,48581.535
2018,Indiana,With a Disability,Federal government workers,1.6,3371.456
2018,Indiana,No Disability,Federal government workers,1.5,45420.795
2018,Indiana,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.4,142505.836
2018,Indiana,With a Disability,Self-employed in own not incorporated business workers,5.6,11800.096
2018,Indiana,No Disability,Self-employed in own not incorporated business workers,4.3,130206.279
2018,Indiana,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,3238.769
2018,Indiana,With a Disability,Unpaid family workers,0.1,210.716
2018,Indiana,No Disability,Unpaid family workers,0.1,3028.053
2018,Kentucky,Total Civilian Noninstitutionalized Population,,100,1995174
2018,Kentucky,With a Disability,,100,150844
2018,Kentucky,No Disability,,100,1844330
2018,Kentucky,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.2,1460467.368
2018,Kentucky,With a Disability,Private for-profit wage and salary workers,72.3,109060.212
2018,Kentucky,No Disability,Private for-profit wage and salary workers,73.3,1351893.89
2018,Kentucky,Total Civilian Noninstitutionalized Population,Employee of private company workers,70.5,1406597.67
2018,Kentucky,With a Disability,Employee of private company workers,69.7,105138.268
2018,Kentucky,No Disability,Employee of private company workers,70.6,1302096.98
2018,Kentucky,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,2.7,53869.698
2018,Kentucky,With a Disability,Self-employed in own incorporated business workers,2.6,3921.944
2018,Kentucky,No Disability,Self-employed in own incorporated business workers,2.7,49796.91
2018,Kentucky,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.6,151633.224
2018,Kentucky,With a Disability,Private not-for-profit wage and salary workers,7.8,11765.832
2018,Kentucky,No Disability,Private not-for-profit wage and salary workers,7.6,140169.08
2018,Kentucky,Total Civilian Noninstitutionalized Population,Local government workers,5.2,103749.048
2018,Kentucky,With a Disability,Local government workers,4.2,6335.448
2018,Kentucky,No Disability,Local government workers,5.3,97749.49
2018,Kentucky,Total Civilian Noninstitutionalized Population,State government workers,6.4,127691.136
2018,Kentucky,With a Disability,State government workers,5.7,8598.108
2018,Kentucky,No Disability,State government workers,6.5,119881.45
2018,Kentucky,Total Civilian Noninstitutionalized Population,Federal government workers,2.1,41898.654
2018,Kentucky,With a Disability,Federal government workers,2.4,3620.256
2018,Kentucky,No Disability,Federal government workers,2.1,38730.93
2018,Kentucky,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.2,103749.048
2018,Kentucky,With a Disability,Self-employed in own not incorporated business workers,7.1,10709.924
2018,Kentucky,No Disability,Self-employed in own not incorporated business workers,5,92216.5
2018,Kentucky,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,3990.348
2018,Kentucky,With a Disability,Unpaid family workers,0.5,754.22
2018,Kentucky,No Disability,Unpaid family workers,0.2,3688.66
2018,Louisiana,Total Civilian Noninstitutionalized Population,,100,2015588
2018,Louisiana,With a Disability,,100,145813
2018,Louisiana,No Disability,,100,1869775
2018,Louisiana,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.3,1477426.004
2018,Louisiana,With a Disability,Private for-profit wage and salary workers,69.9,101923.287
2018,Louisiana,No Disability,Private for-profit wage and salary workers,73.5,1374284.625
2018,Louisiana,Total Civilian Noninstitutionalized Population,Employee of private company workers,69.7,1404864.836
2018,Louisiana,With a Disability,Employee of private company workers,66,96236.58
2018,Louisiana,No Disability,Employee of private company workers,70,1308842.5
2018,Louisiana,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.6,72561.168
2018,Louisiana,With a Disability,Self-employed in own incorporated business workers,3.9,5686.707
2018,Louisiana,No Disability,Self-employed in own incorporated business workers,3.5,65442.125
2018,Louisiana,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6,120935.28
2018,Louisiana,With a Disability,Private not-for-profit wage and salary workers,5.9,8602.967
2018,Louisiana,No Disability,Private not-for-profit wage and salary workers,6,112186.5
2018,Louisiana,Total Civilian Noninstitutionalized Population,Local government workers,6.6,133028.808
2018,Louisiana,With a Disability,Local government workers,8.3,12102.479
2018,Louisiana,No Disability,Local government workers,6.5,121535.375
2018,Louisiana,Total Civilian Noninstitutionalized Population,State government workers,5.5,110857.34
2018,Louisiana,With a Disability,State government workers,5.1,7436.463
2018,Louisiana,No Disability,State government workers,5.6,104707.4
2018,Louisiana,Total Civilian Noninstitutionalized Population,Federal government workers,2.2,44342.936
2018,Louisiana,With a Disability,Federal government workers,2.9,4228.577
2018,Louisiana,No Disability,Federal government workers,2.1,39265.275
2018,Louisiana,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.2,124966.456
2018,Louisiana,With a Disability,Self-employed in own not incorporated business workers,7.7,11227.601
2018,Louisiana,No Disability,Self-employed in own not incorporated business workers,6.1,114056.275
2018,Louisiana,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,4031.176
2018,Louisiana,With a Disability,Unpaid family workers,0.3,437.439
2018,Louisiana,No Disability,Unpaid family workers,0.2,3739.55
2018,Washington,Total Civilian Noninstitutionalized Population,,100,3692441
2018,Washington,With a Disability,,100,229718
2018,Washington,No Disability,,100,3462723
2018,Washington,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,70.6,2606863.346
2018,Washington,With a Disability,Private for-profit wage and salary workers,65.4,150235.572
2018,Washington,No Disability,Private for-profit wage and salary workers,71,2458533.33
2018,Washington,Total Civilian Noninstitutionalized Population,Employee of private company workers,66.7,2462858.147
2018,Washington,With a Disability,Employee of private company workers,61.7,141736.006
2018,Washington,No Disability,Employee of private company workers,67,2320024.41
2018,Washington,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.9,144005.199
2018,Washington,With a Disability,Self-employed in own incorporated business workers,3.7,8499.566
2018,Washington,No Disability,Self-employed in own incorporated business workers,3.9,135046.197
2018,Washington,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,8.1,299087.721
2018,Washington,With a Disability,Private not-for-profit wage and salary workers,9.5,21823.21
2018,Washington,No Disability,Private not-for-profit wage and salary workers,8,277017.84
2018,Washington,Total Civilian Noninstitutionalized Population,Local government workers,6.5,240008.665
2018,Washington,With a Disability,Local government workers,6.3,14472.234
2018,Washington,No Disability,Local government workers,6.5,225076.995
2018,Washington,Total Civilian Noninstitutionalized Population,State government workers,5.8,214161.578
2018,Washington,With a Disability,State government workers,6.1,14012.798
2018,Washington,No Disability,State government workers,5.8,200837.934
2018,Washington,Total Civilian Noninstitutionalized Population,Federal government workers,2.8,103388.348
2018,Washington,With a Disability,Federal government workers,4.2,9648.156
2018,Washington,No Disability,Federal government workers,2.8,96956.244
2018,Washington,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6,221546.46
2018,Washington,With a Disability,Self-employed in own not incorporated business workers,8.1,18607.158
2018,Washington,No Disability,Self-employed in own not incorporated business workers,5.8,200837.934
2018,Washington,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,7384.882
2018,Washington,With a Disability,Unpaid family workers,0.4,918.872
2018,Washington,No Disability,Unpaid family workers,0.2,6925.446
2018,Illinois,Total Civilian Noninstitutionalized Population,,100,6290858
2018,Illinois,With a Disability,,100,310954
2018,Illinois,No Disability,,100,5979904
2018,Illinois,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,74.9,4711852.642
2018,Illinois,With a Disability,Private for-profit wage and salary workers,69.9,217356.846
2018,Illinois,No Disability,Private for-profit wage and salary workers,75.1,4490907.904
2018,Illinois,Total Civilian Noninstitutionalized Population,Employee of private company workers,71.1,4472800.038
